timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1700552087769,2407,/login-144-1,200,OK,Thread Group 1-10,text,true,,10108,1220,20,20,https://www.tab66aud.com/deposits,2407,0,0
1700552090177,2415,/deposits-145,200,OK,Thread Group 1-10,text,true,,10105,1220,20,20,https://www.tab66aud.com/deposits,2415,0,0
1700552080904,11691,Log Out,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-19,,true,,24254,3900,20,20,null,0,3,0
1700552080904,6965,/logout-400,200,OK,Thread Group 1-19,text,true,,13101,2680,20,20,https://www.tab66aud.com,2339,0,0
1700552080904,2339,/logout-400-0,302,Found,Thread Group 1-19,text,true,,1903,1377,20,20,https://www.tab66aud.com/logout,2339,0,0
1700552083242,4627,/logout-400-1,200,OK,Thread Group 1-19,text,true,,11198,1303,20,20,https://www.tab66aud.com,4627,0,0
1700552087870,4726,/-403,200,OK,Thread Group 1-19,text,true,,11153,1220,20,20,https://www.tab66aud.com/,4726,0,0
1700552089778,4631,Home Page,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-4,,true,,11194,1169,20,20,null,0,1,0
1700552089778,4631,/-37,200,OK,Thread Group 1-4,text,true,,11194,1169,20,20,https://www.tab66aud.com/,4631,0,0
1700552092117,2388,Click On Login Button,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-17,,true,,8187,1217,20,20,null,0,1,0
1700552092117,2388,/login-113,200,OK,Thread Group 1-17,text,true,,8187,1217,20,20,https://www.tab66aud.com/login,2388,0,0
1700552092211,2409,Select and Click On Pragmatic,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-9,,true,,10202,1228,20,20,null,0,0,0
1700552092211,2409,/games/10-171,200,OK,Thread Group 1-9,text,true,,10202,1228,20,20,https://www.tab66aud.com/games/10,2409,0,0
1700552092283,2380,Click On Login Button,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,8167,1217,20,20,null,0,1,0
